ISO,Country,NDC,Date,Climate.Watch.HTML.File
ECU,Ecuador,1,3/29/19,ECU-first_ndc-EN_TR.html
EGY,Egypt,1,6/29/17,EGY-first_ndc-EN.html
EGY,Egypt,2,7/7/22,EGY-revised_first_ndc-EN.html
ERI,Eritrea,1,6/19/18,ERI-first_ndc-EN.html
ETH,Ethiopia,1,3/9/17,ETH-first_ndc-EN.html
ETH,Ethiopia,2,7/23/21,ETH-revised_first_ndc-EN.html
FJI,Fiji,1,4/22/16,FJI-first_ndc-EN.html
FJI,Fiji,2,12/31/20,FJI-revised_first_ndc-EN.html
FSM,Micronesia,1,9/15/16,FSM-first_ndc-EN.html
GAB,Gabon,1,11/2/16,GAB-first_ndc-EN_TR.html
GAB,Gabon,2,7/6/22,GAB-second_ndc-EN.html
GBR,United Kingdom,1,11/18/16,GBR-first_ndc-EN-EU28.html
GBR,United Kingdom,2,12/12/20,GBR-revised_first_ndc-EN.html
GEO,Georgia,1,5/8/17,GEO-first_ndc-EN.html
GEO,Georgia,2,5/5/21,GEO-revised_first_ndc-EN.html
GHA,Ghana,1,9/21/16,GHA-first_ndc-EN.html
GHA,Ghana,2,11/4/21,GHA-revised_first_ndc-EN.html
GIN,Guinea,1,9/21/16,GIN-first_ndc-EN.html
GIN,Guinea,2,7/28/21,GIN-revised_first_ndc-EN_TR.html
GMB,Gambia,1,11/7/16,GMB-first_ndc-EN.html
GMB,Gambia,2,9/12/21,GMB-second_ndc-EN.html
GNB,Guinea-Bissau,1,10/22/18,GNB-first_ndc-EN.html
GNB,Guinea-Bissau,2,10/12/21,GNB-revised_first_ndc-EN.html
GNQ,Equatorial Guinea,1,10/30/18,GNQ-first_ndc-EN_TR.html
GNQ,Equatorial Guinea,2,10/24/22,GNQ-revised_first_ndc-EN_TR.html
GRD,Grenada,1,4/22/16,GRD-first_ndc-EN.html
GRD,Grenada,2,12/1/20,GRD-second_ndc-EN.html
GTM,Guatemala,1,1/25/17,GTM-first_ndc-EN_TR.html
GTM,Guatemala,2,5/23/22,GTM-revised_first_ndc-EN_TR.html
GUY,Guyana,1,5/20/16,GUY-first_ndc-EN.html
HND,Honduras,1,9/21/16,HND-first_ndc-EN_TR.html
HND,Honduras,2,5/19/21,HND-revised_first_ndc-EN_TR.html
HTI,Haiti,1,7/31/17,HTI-first_ndc-EN_TR.html
HTI,Haiti,2,6/1/22,HTI-revised_first_ndc-EN.html
IDN,Indonesia,1,11/6/16,IDN-first_ndc-EN.html
IDN,Indonesia,2,7/22/21,IDN-revised_first_ndc-EN.html
IND,India,1,10/2/16,IND-first_ndc-EN.html
IRQ,Iraq,1,10/15/21,IRQ-first_ndc-EN_TR.html
ISL,Iceland,1,9/21/16,ISL-first_ndc-EN.html
ISL,Iceland,2,2/18/21,ISL-revised_first_ndc-EN.html
ISR,Israel,1,11/22/16,ISR-first_ndc-EN.html
ISR,Israel,2,7/29/21,ISR-revised_first_ndc-EN.html
JAM,Jamaica,1,4/10/17,JAM-first_ndc-EN.html
JAM,Jamaica,2,7/1/20,JAM-revised_first_ndc-EN.html
JOR,Jordan,1,11/4/16,JOR-first_ndc-EN.html
JOR,Jordan,2,10/12/21,JOR-revised_first_ndc-EN.html
JPN,Japan,1,11/8/16,JPN-first_ndc-EN.html
JPN,Japan,2,10/22/21,JPN-revised_first_ndc-EN.html
KAZ,Kazakhstan,1,12/6/16,KAZ-first_ndc-EN.html
KAZ,Kazakhstan,2,6/27/23,KAZ-revised_first_ndc-EN.html
KEN,Kenya,1,12/28/16,KEN-first_ndc-EN.html
KEN,Kenya,2,12/28/20,KEN-revised_first_ndc-EN.html
KGZ,Kyrgyzstan,1,2/18/20,KGZ-first_ndc-EN.html
KGZ,Kyrgyzstan,2,10/9/21,KGZ-revised_first_ndc-EN.html
KHM,Cambodia,1,2/6/17,KHM-first_ndc-EN.html
KHM,Cambodia,2,12/31/20,KHM-revised_first_ndc-EN.html
KIR,Kiribati,1,9/21/16,KIR-first_ndc-EN.html
KNA,St Kitts and Nevis,1,4/22/16,KNA-first_ndc-EN.html
KNA,St Kitts and Nevis,2,10/25/21,KNA-revised_first_ndc-EN.html
KOR,Korea,1,11/3/16,KOR-first_ndc-EN.html
KOR,Korea,2,12/23/21,KOR-revised_first_ndc-EN.html
KWT,Kuwait,1,4/23/18,KWT-first_ndc-EN.html
KWT,Kuwait,2,10/12/21,KWT-revised_first_ndc-EN.html
LAO,Laos,1,9/7/16,LAO-first_ndc-EN.html
LAO,Laos,2,5/11/21,LAO-revised_first_ndc-EN.html
LBN,Lebanon,1,2/5/20,LBN-first_ndc-EN.html
LBN,Lebanon,2,3/16/21,LBN-revised_first_ndc-EN.html
LBR,Liberia,1,8/27/18,LBR-first_ndc-EN.html
LBR,Liberia,2,8/4/21,LBR-revised_first_ndc-EN.html
LCA,St Lucia,1,4/22/16,LCA-first_ndc-EN.html
LCA,St Lucia,2,1/27/21,LCA-revised_first_ndc-EN.html
LIE,Liechtenstein,1,9/20/17,LIE-first_ndc-EN.html
LKA,Sri Lanka,1,11/6/16,LKA-first_ndc-EN.html
LKA,Sri Lanka,2,7/30/21,LKA-revised_first_ndc-EN.html
LSO,Lesotho,1,1/20/17,LSO-first_ndc-EN.html
MAR,Morocco,1,9/19/16,MAR-first_ndc-EN.html
MAR,Morocco,2,6/22/21,MAR-revised_first_ndc-EN_TR.html
MCO,Monaco,1,10/26/16,MCO-first_ndc-EN.html
MCO,Monaco,2,12/28/20,MCO-revised_first_ndc-EN_TR.html
MDA,Moldova,1,6/20/17,MDA-first_ndc-EN.html
MDA,Moldova,2,3/4/20,MDA-revised_first_ndc-EN.html
MDG,Madagascar,1,9/21/16,MDG-first_ndc-EN.html
MDV,Maldives,1,4/22/16,MDV-first_ndc-EN.html
MDV,Maldives,2,12/28/20,MDV-revised_first_ndc-EN.html
MEX,Mexico,1,9/21/16,MEX-first_ndc-EN.html
MEX,Mexico,2,12/30/20,MEX-revised_first_ndc-EN.html
MHL,Marshall Islands,1,4/22/16,MHL-first_ndc-EN.html
MHL,Marshall Islands,2,12/31/20,MHL-revised_second_ndc-EN.html
MKD,North Macedonia,1,1/9/18,MKD-first_ndc-EN.html
MKD,North Macedonia,2,4/16/21,MKD-revised_first_ndc-EN.html
MLI,Mali,1,9/23/16,MLI-first_ndc-EN_TR.html
MMR,Myanmar,1,9/19/17,MMR-first_ndc-EN.html
MMR,Myanmar,2,8/3/21,MMR-revised_first_ndc-EN.html
MNE,Montenegro,1,12/21/17,MNE-first_ndc-EN.html
MNE,Montenegro,2,6/15/21,MNE-revised_first_ndc-EN.html
MNG,Mongolia,1,9/21/16,MNG-first_ndc-EN.html
MNG,Mongolia,2,10/13/20,MNG-revised_first_ndc-EN.html
MOZ,Mozambique,1,6/4/18,MOZ-first_ndc-EN.html
MOZ,Mozambique,2,12/27/21,MOZ-revised_first_ndc-EN.html
MRT,Mauritania,1,2/27/17,MRT-first_ndc-EN_TR.html
MRT,Mauritania,2,10/12/21,MRT-revised_first_ndc-EN_TR.html
MUS,Mauritius,1,4/22/16,MUS-first_ndc-EN.html
MUS,Mauritius,2,10/5/21,MUS-revised_first_ndc-EN.html
MWI,Malawi,1,6/29/17,MWI-first_ndc-EN.html
MWI,Malawi,2,7/30/21,MWI-revised_first_ndc-EN.html
MYS,Malaysia,1,11/16/16,MYS-first_ndc-EN.html
MYS,Malaysia,2,7/30/21,MYS-revised_first_ndc-EN.html
NAM,Namibia,1,9/21/16,NAM-first_ndc-EN.html
NAM,Namibia,2,7/30/21,NAM-revised_first_ndc-EN.html
NER,Niger,1,9/21/16,NER-first_ndc-EN.html
NER,Niger,2,12/13/21,NER-revised_first_ndc-EN.html
NGA,Nigeria,1,5/16/17,NGA-first_ndc-EN.html
NIC,Nicaragua,1,9/3/18,NIC-first_ndc-EN_TR.html
NIC,Nicaragua,2,12/24/20,NIC-revised_first_ndc-EN_TR.html
NIU,Niue,1,10/28/16,NIU-first_ndc-EN.html
NOR,Norway,1,6/20/16,NOR-first_ndc-EN.html
NOR,Norway,2,2/7/20,NOR-revised_first_ndc-EN.html
NPL,Nepal,1,10/5/16,NPL-first_ndc-EN.html
NPL,Nepal,2,12/8/20,NPL-second_ndc-EN.html
NRU,Nauru,1,4/7/16,NRU-first_ndc-EN.html
NRU,Nauru,2,10/14/21,NRU-revised_first_ndc-EN.html
NZL,New Zealand,1,10/5/16,NZL-first_ndc-EN.html
NZL,New Zealand,2,11/3/21,NZL-revised_first_ndc-EN.html
OMN,Oman,1,5/22/19,OMN-first_ndc-EN.html
OMN,Oman,2,7/29/21,OMN-second_ndc-EN.html
PAK,Pakistan,1,11/10/16,PAK-first_ndc-EN.html
PAN,Panama,1,4/18/16,PAN-first_ndc-EN_TR.html
PAN,Panama,2,12/28/20,PAN-revised_first_ndc-EN_TR.html
PER,Peru,1,7/25/16,PER-first_ndc-EN.html
PER,Peru,2,12/18/20,PER-revised_first_ndc-EN_TR.html
PHL,Philippines,1,4/15/21,PHL-first_ndc-EN.html
PLW,Palau,1,4/22/16,PLW-first_ndc-EN.html
PNG,Papua New Guinea,1,3/24/16,PNG-first_ndc-EN.html
PNG,Papua New Guinea,2,12/16/20,PNG-second_ndc-EN.html
PRK,Korea,1,10/3/16,PRK-first_ndc-EN.html
PRY,Paraguay,1,10/14/16,PRY-first_ndc-EN_TR.html
PRY,Paraguay,2,7/16/21,PRY-revised_first_ndc-EN_TR.html
PSE,Palestine,1,8/21/17,PSE-first_ndc-EN.html
PSE,Palestine,2,10/10/21,PSE-revised_first_ndc-EN.html
QAT,Qatar,1,6/23/17,QAT-first_ndc-EN.html
QAT,Qatar,2,8/24/21,QAT-revised_first_ndc-EN.html
RUS,Russia,1,11/25/20,RUS-first_ndc-EN.html
RWA,Rwanda,1,10/6/16,RWA-first_ndc-EN.html
RWA,Rwanda,2,5/20/20,RWA-revised_first_ndc-EN.html
SAU,Saudi Arabia,1,11/3/16,SAU-first_ndc-EN.html
SAU,Saudi Arabia,2,10/23/21,SAU-revised_first_ndc-EN.html
SDN,Sudan,1,8/2/17,SDN-first_ndc-EN.html
SEN,Senegal,1,12/29/20,SEN-first_ndc-EN_TR.html
SGP,Singapore,1,9/21/16,SGP-first_ndc-EN.html
SGP,Singapore,2,3/31/20,SGP-revised_first_ndc-EN.html
SLB,Solomon Islands,1,9/21/16,SLB-first_ndc-EN.html
SLB,Solomon Islands,2,7/19/21,SLB-revised_first_ndc-EN.html
SLE,Sierra Leone,1,11/1/16,SLE-first_ndc-EN.html
SLE,Sierra Leone,2,7/31/21,SLE-revised_first_ndc-EN.html
SLV,El Salvador,1,3/27/17,SLV-first_ndc-EN_TR.html
SLV,El Salvador,2,1/4/22,SLV-revised_first_ndc-EN.html
SMR,San Marino,1,9/26/18,SMR-first_ndc-EN.html
SOM,Somalia,1,4/22/16,SOM-first_ndc-EN.html
SOM,Somalia,2,7/31/21,SOM-revised_first_ndc-EN.html
SRB,Serbia,1,7/25/17,SRB-first_ndc-EN.html
SRB,Serbia,2,8/24/22,SRB-revised_first_ndc-EN.html
SSD,South Sudan,1,2/23/21,SSD-first_ndc-EN.html
SSD,South Sudan,2,9/21/21,SSD-second_ndc-EN.html
STP,Sao Tome and Principe,1,11/2/16,STP-first_ndc-EN.html
STP,Sao Tome and Principe,2,7/30/21,STP-revised_first_ndc-EN.html
SUR,Suriname,1,2/13/19,SUR-first_ndc-EN.html
SUR,Suriname,2,12/9/19,SUR-second_ndc-EN.html
SWZ,Eswatini,1,9/21/16,SWZ-first_ndc-EN.html
SWZ,Eswatini,2,10/12/21,SWZ-revised_first_ndc-EN.html
SYC,Seychelles,1,4/29/16,SYC-first_ndc-EN.html
SYC,Seychelles,2,7/30/21,SYC-revised_first_ndc-EN.html
SYR,Syria,1,11/30/18,SYR-first_ndc-EN.html
TCD,Chad,1,1/12/17,TCD-first_ndc-EN.html
TCD,Chad,2,10/19/21,TCD-revised_first_ndc-EN_TR.html
TGO,Togo,1,6/28/17,TGO-first_ndc-EN.html
TGO,Togo,2,10/12/21,TGO-revised_first_ndc-EN_TR.html
THA,Thailand,1,9/21/16,THA-first_ndc-EN.html
THA,Thailand,2,10/26/20,THA-revised_first_ndc-EN.html
TJK,Tajikistan,1,3/22/17,TJK-first_ndc-EN.html
TJK,Tajikistan,2,10/12/21,TJK-revised_first_ndc-EN.html
TKM,Turkmenistan,1,10/21/16,TKM-first_ndc-EN.html
TKM,Turkmenistan,2,1/30/23,TKM-revised_first_ndc-EN.html
TLS,Timor-Leste,1,8/16/17,TLS-first_ndc-EN.html
TON,Tonga,1,9/21/16,TON-first_ndc-EN.html
TON,Tonga,2,12/9/20,TON-second_ndc-EN.html
TTO,Trinidad and Tobago,1,2/22/18,TTO-first_ndc-EN.html
TUN,Tunisia,1,2/10/17,TUN-first_ndc-EN.html
TUN,Tunisia,2,10/10/21,TUN-revised_first_ndc-EN.html
TUR,Turkey,1,10/11/21,TUR-first_ndc-EN.html
TUR,Turkey,2,4/13/23,TUR-revised_first_ndc-EN.html
TUV,Tuvalu,1,4/22/16,TUV-first_ndc-EN.html
TZA,Tanzania,1,5/18/18,TZA-first_ndc-EN.html
TZA,Tanzania,2,7/30/21,TZA-revised_first_ndc-EN.html
UGA,Uganda,1,9/21/16,UGA-first_ndc-EN.html
UGA,Uganda,2,10/12/21,UGA-revised_first_ndc-EN.html
UKR,Ukraine,1,9/19/16,UKR-first_ndc-EN.html
UKR,Ukraine,2,7/31/21,UKR-revised_first_ndc-EN.html
URY,Uruguay,1,11/10/17,URY-first_ndc-EN.html
URY,Uruguay,2,12/30/22,URY-second_ndc-EN_TR.html
USA,United States,1,9/3/16,USA-first_ndc-EN.html
USA,United States,2,4/22/21,USA-revised_first_ndc-EN.html
UZB,Uzbekistan,1,11/9/18,UZB-first_ndc-EN.html
UZB,Uzbekistan,2,10/30/21,UZB-revised_first_ndc-EN.html
VAT,Vatican,1,5/31/23,VAT-first_ndc-EN.html
VCT,St Vincent and the Grenadines,1,6/29/16,VCT-first_ndc-EN.html
VEN,Venezuela,1,2/27/18,VEN-first_ndc-EN_TR.html
VEN,Venezuela,2,11/9/21,VEN-revised_first_ndc-EN_TR.html
VNM,Viet Nam,1,11/3/16,VNM-first_ndc-EN.html
VNM,Viet Nam,2,9/11/20,VNM-revised_first_ndc-EN.html
VUT,Vanuatu,1,9/21/16,VUT-first_ndc-EN.html
VUT,Vanuatu,2,8/9/22,VUT-revised_first_ndc-EN.html
WSM,Samoa,1,4/22/16,WSM-first_ndc-EN.html
WSM,Samoa,2,7/30/21,WSM-second_ndc-EN.html
ZAF,South Africa,1,11/1/16,ZAF-first_ndc-EN.html
ZAF,South Africa,2,9/27/21,ZAF-revised_first_ndc-EN.html
ZMB,Zambia,1,12/9/16,ZMB-first_ndc-EN.html
ZMB,Zambia,2,7/30/21,ZMB-revised_first_ndc-EN.html
ZWE,Zimbabwe,1,8/7/17,ZWE-first_ndc-EN.html
ZWE,Zimbabwe,2,9/24/21,ZWE-revised_first_ndc-EN.html
